Hospital,Description,CPT,Charge
Greater El Monte Community Hospital,Insert Emergency Airway,31500,15226
Greater El Monte Community Hospital,"Endoscopy, Upper GI, diagnostic",43235,12736
Greater El Monte Community Hospital,"Excision, Breast Lesion",19120,20573
Greater El Monte Community Hospital,TREATMENT OF MISCARRIAGE,59812,19200
Greater El Monte Community Hospital,CLEAR OUTER EAR CANAL,69200,1171
Greater El Monte Community Hospital,CORNEAL TRANSPLANT,65730,38569
Greater El Monte Community Hospital,CARE OF MISCARRIAGE,59820,17441
Greater El Monte Community Hospital,FETAL NON-STRESS TEST,59025,2943
Greater El Monte Community Hospital,"LAPAROSCOPY, TUBAL CAUTERY",58670,28612
Greater El Monte Community Hospital,DIVISION OF FALLOPIAN TUBE,58600,26701
Greater El Monte Community Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1541
Greater El Monte Community Hospital,DILATION AND CURETTAGE,58120,18857
Greater El Monte Community Hospital,PRP I/HERN INIT BLOCK >5 YR,49507,39071
Greater El Monte Community Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,0
Greater El Monte Community Hospital,Conization of Cervix,57520,18713
Greater El Monte Community Hospital,Laparoscopic Cholecystectomy,47562,41387
Greater El Monte Community Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,0
Greater El Monte Community Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62311,0
Greater El Monte Community Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,32439
Greater El Monte Community Hospital,"Ultrasound, Abdomen, Complete",76700,1465
Greater El Monte Community Hospital,Lipid Panel,80061,508
Greater El Monte Community Hospital,"Endoscopy, Upper GI, with biopsy",43239,25850
Greater El Monte Community Hospital,Comprehensive Metabolic Panel,80053,1287
Greater El Monte Community Hospital,"Urinalysis, with microscopy",81001,216
Greater El Monte Community Hospital,"Urinalysis, with microscopy",81000,216
Greater El Monte Community Hospital,"Urinalysis, without microscopy",81003,86
Greater El Monte Community Hospital,"Creatine Kinase (CK), (CPK), Total",82550,249
Greater El Monte Community Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,412
Greater El Monte Community Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,978
Greater El Monte Community Hospital,"Urinalysis, without microscopy",81002,86
Greater El Monte Community Hospital,"Outpatient Visit, established patient, 15 minutes",99213,0
Greater El Monte Community Hospital,"Emergency Room Visit, Level 4 (high severity)",99284,1320
Greater El Monte Community Hospital,"Complete Blood Count, automated",85027,126
Greater El Monte Community Hospital,"Blood Gas Analysis, including 02 saturation",82805,630
Greater El Monte Community Hospital,Basic Metabolic Panel,80048,971
Greater El Monte Community Hospital,"Complete Blood Count, with differential WBC, automated",85025,344
Hazel Hawkins Memorial Hospital,"X-Ray, Lower Back, four views",72110,690.75
Hazel Hawkins Memorial Hospital,"Endoscopy, Upper GI, with biopsy",43239,
Hazel Hawkins Memorial Hospital,"Endoscopy, Upper GI, diagnostic",43235,
Hazel Hawkins Memorial Hospital,"Excision, Breast Lesion",19120,
Hazel Hawkins Memorial Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
Hazel Hawkins Memorial Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62311,
Hazel Hawkins Memorial Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Hazel Hawkins Memorial Hospital,Laparoscopic Cholecystectomy,47562,
Hazel Hawkins Memorial Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Hazel Hawkins Memorial Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Hazel Hawkins Memorial Hospital,M D Inhaler Initial,94664,278
Hazel Hawkins Memorial Hospital,Apnea Monitor Initial Charge,94772,617
Hazel Hawkins Memorial Hospital,"CT Scan, Abdomen, with contrast",74160,
Hazel Hawkins Memorial Hospital,"Troponin, Quantitative",84484,141.75
Hazel Hawkins Memorial Hospital,Thyroid Stimulating Hormone,84443,124.75
Hazel Hawkins Memorial Hospital,Prothrombin Time,85610,274.75
Hazel Hawkins Memorial Hospital,Partial Thromboplastin Time,85730,44.5
Hazel Hawkins Memorial Hospital,Lipid Panel,80061,99.5
Hazel Hawkins Memorial Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
Hazel Hawkins Memorial Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,
Hazel Hawkins Memorial Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
Hazel Hawkins Memorial Hospital,"Colonoscopy, diagnostic",45378,
Hazel Hawkins Memorial Hospital,"X-Ray, Chest, two views",71020,504
Hazel Hawkins Memorial Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Hazel Hawkins Memorial Hospital,"Echocardiography, complete",93307,3697.5
Hazel Hawkins Memorial Hospital,"Electrocardiogram, routine, with interpretation and report",93000,487.75
Hazel Hawkins Memorial Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,
Hazel Hawkins Memorial Hospital,"Physical Therapy, Evaluation",97001,
Hazel Hawkins Memorial Hospital,"Physical Therapy, Gait Training",97116,
Hazel Hawkins Memorial Hospital,"Physical Therapy, Therapeutic Exercise",97110,
Hazel Hawkins Memorial Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Hazel Hawkins Memorial Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Hazel Hawkins Memorial Hospital,Carpal Tunnel Surgery,64721,
Hazel Hawkins Memorial Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Hazel Hawkins Memorial Hospital,"Ultrasound, Abdomen, Complete",76700,1481.25
Hazel Hawkins Memorial Hospital,"CT Scan, Head or Brain, without contrast",70450,1000
Hazel Hawkins Memorial Hospital,"Mammography, Screening, Bilateral",77057,725
Hazel Hawkins Memorial Hospital,"CT Scan, Pelvis, with contrast",72193,
Hazel Hawkins Memorial Hospital,"Creatine Kinase (CK), (CPK), Total",82550,69.25
Hazel Hawkins Memorial Hospital,"Colonoscopy, with biopsy",45380,
Hazel Hawkins Memorial Hospital,Comprehensive Metabolic Panel,80053,78.5
Hazel Hawkins Memorial Hospital,"MRI, Head or Brain, without contrast, followed by contrast",70553,4956
Hazel Hawkins Memorial Hospital,"Complete Blood Count, automated",85027,
Hazel Hawkins Memorial Hospital,"Urinalysis, without microscopy",81002,66
Hazel Hawkins Memorial Hospital,"Urinalysis, with microscopy",81001,22.75
Hazel Hawkins Memorial Hospital,"Urinalysis, without microscopy",81003,66
Hazel Hawkins Memorial Hospital,"Complete Blood Count, with differential WBC, automated",85025,57.75
Hazel Hawkins Memorial Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1237
Hazel Hawkins Memorial Hospital,"Urinalysis, with microscopy",81000,22.75
Hazel Hawkins Memorial Hospital,"Emergency Room Visit, Level 4 (high severity)",99284,2205
Hazel Hawkins Memorial Hospital,"Blood Gas Analysis, including 02 saturation",82805,
Hazel Hawkins Memorial Hospital,Basic Metabolic Panel,80048,62.75
Hazel Hawkins Memorial Hospital,"Outpatient Visit, established patient, 15 minutes",99213,341
Hazel Hawkins Memorial Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,1765
Hi Desert Medical Center,"Electrocardiogram, routine, with interpretation and report",93000,
Hi Desert Medical Center,"Echocardiography, Transthoracic, complete",93307,
Hi Desert Medical Center,"Cardiac Catheterization, Left Heart, percutaneous",93452,
Hi Desert Medical Center,"X-Ray, Chest, two views",71046,791.56
Hi Desert Medical Center,"X-Ray, Lower Back, minimum four views",72110,1629.8
Hi Desert Medical Center,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1412.45
Hi Desert Medical Center,"MRI, Brain, without contrast, followed by contrast",70553,11526.25
Hi Desert Medical Center,"Mammography, Screening, Bilateral",77067,451.1
Hi Desert Medical Center,"CT Scan, Pelvis, with contrast",72193,
Hi Desert Medical Center,"CT Scan, Abdomen, with contrast",74160,
Hi Desert Medical Center,"Troponin, Quantitative",84484,317.61
Hi Desert Medical Center,Thyroid Stimulating Hormone,84443,251.36
Hi Desert Medical Center,Prothrombin Time,85610,
Hi Desert Medical Center,Partial Thromboplastin Time,85730,222.11
Hi Desert Medical Center,Lipid Panel,80061,418.02
Hi Desert Medical Center,"Ultrasound, Abdomen, Complete",76700,2184.51
Hi Desert Medical Center,"CT Scan, Head or Brain, without contrast",70450,4763.16
Hi Desert Medical Center,"Physical Therapy, Gait Training",97116,219.95
Hi Desert Medical Center,"Creatine Kinase (CK), (CPK), Total",82550,241.01
Hi Desert Medical Center,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Hi Desert Medical Center,"Tympanostomy (insert ventilating tube, general anesthesia)",69436,
Hi Desert Medical Center,Laparoscopic Cholecystectomy,47562,
Hi Desert Medical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Hi Desert Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,
Hi Desert Medical Center,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Hi Desert Medical Center,"Endoscopy, Upper GI, diagnostic",43235,
Hi Desert Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,123.42
Hi Desert Medical Center,"Endoscopy, Upper GI, with biopsy",43239,
Hi Desert Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,
Hi Desert Medical Center,"Colonoscopy, with biopsy",45380,
Hi Desert Medical Center,"Colonoscopy, diagnostic",45378,
Hi Desert Medical Center,Carpal Tunnel Surgery,64721,
Hi Desert Medical Center,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Hi Desert Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Hi Desert Medical Center,"Physical Therapy, Therapeutic Exercise",97110,324.91
Hi Desert Medical Center,"Discission, secondary membranous cataract, laser surgery",66821,
Hi Desert Medical Center,Comprehensive Metabolic Panel,80053,535.59
Hi Desert Medical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Hi Desert Medical Center,"Complete Blood Count, automated",85027,183.7
Hi Desert Medical Center,"Complete Blood Count, with differential WBC, automated",85025,178.06
Hi Desert Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Hi Desert Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Hi Desert Medical Center,"Physical Therapy, Evaluation",97163,474.48
Hi Desert Medical Center,"Physical Therapy, Evaluation",97162,474.48
Hi Desert Medical Center,"Physical Therapy, Evaluation",97161,474.48
Hi Desert Medical Center,"Urinalysis, without microscopy",81002,
Hi Desert Medical Center,"Urinalysis, without microscopy",81003,
Hi Desert Medical Center,"Urinalysis, with microscopy",81001,121.52
Hi Desert Medical Center,"Urinalysis, with microscopy",81000,121.52
Hi Desert Medical Center,"Outpatient Visit, established patient, 15 minutes",99213,
Hi Desert Medical Center,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,835.96
Hi Desert Medical Center,"Emergency Room Visit, Level 3 (moderate severity)",99283,1421.13
Hi Desert Medical Center,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2549.63
Hi Desert Medical Center,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3817.97
Hi Desert Medical Center,"Blood Gas Analysis, including 02 saturation",82805,
Hi Desert Medical Center,Basic Metabolic Panel,80048,344.64
Highland Hospital,THER/PROPH/DIAG INJ SC/IM,96372,248
Highland Hospital,TX/PRO/DX INJ NEW DRUG ADDON,96375,551
Highland Hospital,12 LEAD EKG TRACING ONLY,93005,582
Highland Hospital,  US EXAM CHEST,76604,1017
Highland Hospital,  X-RAY EXAM OF FOOT 3+ VIEWS,73630,770
Highland Hospital,  CT THORAX W/CONTRAST MATERIAL,71260,4591
Highland Hospital,  CT - HEAD/BRAIN WO CONTRAST,70450,3291
Highland Hospital,  X-RAY EXAM CHEST 2 VIEWS,71046,500
Highland Hospital,  PROTHROMBIN TIME,85610,124
Highland Hospital,TTE W/DOPPLER COMPLETE,93306,5897
Highland Hospital,  CULTURE BACTERIAL QUANTTATIVE COLONY COUNT URINE,87086,246
Highland Hospital,  CT ABD & PELV W/CONTRAST,74177,6293
Highland Hospital,  ECHO EXAM OF ABDOMEN,76705,1000
Highland Hospital,  X-RAY EXAM CHEST 1 VIEW,71045,460
Highland Hospital,  CT CERV SPINE WO CONTR,72125,4161
Highland Hospital,THER/PROPH/DIAG IV INF INIT =<1 HR,96365,675
Highland Hospital,EGD BIOPSY SINGLE/MULTIPLE,43239,9426.92
Highland Hospital,AIRWAY INHALATION TREATMENT,94640,457
Highland Hospital,  INTRAVITREAL INJECTION OF DRUG,67028,2271.05
Highland Hospital,TRANSFUSION BLOOD/BLOOD COMPONENTS,36430,23924.13
Highland Hospital,DRAW BLOOD OFF VENOUS DEVICE,36591,2963.53
Highland Hospital,ARTERIAL PUNCTURE BLOOD FOR DX,36600,25348.2
Highland Hospital,DIAGNOSTIC COLONOSCOPY,45378,7565.34
Highland Hospital,SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<,12011,18026.48
Highland Hospital,CHEMO IV INFUSION 1 HR,96413,827
Highland Hospital,INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,10060,4081.56
Highland Hospital,INSJ TEMP NDWELLG BLADDER CATHETER SIMPLE,51702,12053.29
Highland Hospital,DRAIN/INJ MAJOR JOINT/BURSA W/O US,20610,2001.88
Highland Hospital,INSJ NON-NDWELLG BLADDER CATHETER,51701,21470.4
Highland Hospital,FETAL NON-STRESS TEST,59025,1504.59
Highland Hospital,DEB SUBQ TISSUE 20 SQ CM/<,11042,3140.97
Highland Hospital,COLONOSCOPY AND BIOPSY,45380,10021.89
Highland Hospital,DEBRIDE NAIL 6 OR MORE,11721,1423.76
Highland Hospital,  BASIC METABOLIC PANEL CALCIUM TOTAL,80048,442
Highland Hospital,NEISSERIA DIR NA PROBE,87590,115
Highland Hospital,LIPID PANEL,80061,306
Highland Hospital,  CHLAMYDIA T DIR NA PROBE,87490,115
Highland Hospital,OUTPATIENT VISIT EST PATIENT 15 MINS,99213,464
Highland Hospital,EMERGENCY ROOM VISIT LEVEL 3 MOD SEVERITY,99283,1772
Highland Hospital,EMERGENCY ROOM VISIT LEVEL 4 HIGH/URGENT SEVERITY,99284,3404
Highland Hospital,COMPREHEN METABOLIC PANEL,80053,564
Highland Hospital,EMERGENCY ROOM VISIT LEVEL 5 HIGH SEVERITY,99285,4869
Highland Hospital,HEMOGLOBIN GLYCOSYLATED A1C,83036,8.37
Highland Hospital,ANTIBODY HIV-1&HIV-2 SINGLE RESULT,86703,185
Highland Hospital,AUTOM URINALYSIS WO MICRO,81003,119
Highland Hospital,BLOOD COUNT COMPLETE AUTOMATED,85027,183
Highland Hospital,THYROID STIMULATING HORMONE,84443,324
Highland Hospital,COMPL CBC W PLT W AUTOM DIFF,85025,253
Hoag Memorial Hospital,"X-Ray, Chest, two views",71046,585.9
Hoag Memorial Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,315.756
Hoag Memorial Hospital,"Electrocardiogram, routine, with interpretation and report",93000,460.95
Hoag Memorial Hospital,"Echocardiography, Transthoracic, complete, without Doppler",93307,764.4
Hoag Memorial Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,13089.3
Hoag Memorial Hospital,"X-Ray, Lower Back, minimum four views",72110,991.2
Hoag Memorial Hospital,"CT Scan, Pelvis, with contrast",72193,2572.5
Hoag Memorial Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1347.15
Hoag Memorial Hospital,"Ultrasound, Abdomen, Complete",76700,1462.65
Hoag Memorial Hospital,"MRI, Brain, without contrast, followed by contrast",70553,3998.4
